x    	sin (x)	N=0.000000	N=2.000000	N=4.000000	N=6.000000	N=8.000000	N=10.000000	N=12.000000	N=14.000000	N=16.000000	N=18.000000	
-10.000000	0.544021	-10.000000	-676.666667	-1448.271605	-4118.900866	-24464977.287711	-231414277242.477020	-4700820120668185.000000	-32081006830742503000.000000	-452146858138344810000000.000000	-1.#IND00	
-9.900000	0.457536	-9.900000	-640.675208	-1308.747841	-3607.645241	-20614182.548130	-185883895557.023070	-3654573019624811.000000	-23959957918854238000.000000	-324323128658594090000000.000000	-1.#IND00	
-9.800000	0.366479	-9.800000	-606.201997	-1181.316025	-3155.652085	-17339182.703460	-148945017587.338530	-2833903350238864.500000	-17841582590953212000.000000	-231849276453399580000000.000000	-1.#IND00	
-9.700000	0.271761	-9.700000	-573.199521	-1065.051953	-2756.551726	-14558500.700141	-119046313760.560100	-2191774111806578.200000	-13245347715290862000.000000	-165170560621467650000000.000000	-1.#IND00	
-9.600000	0.174327	-9.600000	-541.621248	-959.092069	-2404.604203	-12201522.667690	-94903811151.540131	-1690616812809090.000000	-9802764948222230500.000000	-117253905429177410000000.000000	-1.#IND00	
-9.500000	0.075151	-9.500000	-511.421615	-862.630159	-2094.642542	-10207140.070686	-75457043370.371674	-1300495096509168.000000	-7232038918087678000.000000	-82938748407228320000000.000000	-1.#IND00	
-9.400000	-0.024775	-9.400000	-482.556019	-774.914193	-1822.020639	-8522550.051205	-59832022511.528137	-997610764507187.750000	-5318273398575210500.000000	-58450711295749110000000.000000	-1.#IND00	
-9.300000	-0.124454	-9.300000	-454.980808	-695.243308	-1582.565404	-7102196.902522	-47310030169.160713	-763090971163236.000000	-3898056777119719900.000000	-41038349318944438000000.000000	-1.#IND00	
-9.200000	-0.222890	-9.200000	-428.653269	-622.964916	-1372.532863	-5906839.303813	-37301363280.142639	-582005833898281.000000	-2847489490343031300.000000	-28702663444773135000000.000000	-1.#IND00	
-9.100000	-0.319098	-9.100000	-403.531621	-557.471949	-1188.567941	-4902729.482629	-29323291340.201233	-442574468442841.870000	-2072909834362853100.000000	-19996318257611371000000.000000	-1.#IND00	
-9.000000	-0.412118	-9.000000	-379.575000	-498.200223	-1027.667625	-4060891.869126	-22981586516.152927	-335524778883424.000000	-1503729701242499100.000000	-13875079350126463000000.000000	-1.#IND00	
-8.900000	-0.501021	-8.900000	-356.743454	-444.625929	-887.147286	-3356490.075001	-17955079274.453773	-253578435780900.370000	-1086915736937327900.000000	-9588248625469064200000.000000	-1.#IND00	
-8.800000	-0.584917	-8.800000	-334.997931	-396.263232	-764.609894	-2768272.181282	-13982771071.699150	-191037554132452.620000	-782750195131534210.000000	-6598130698377428500000.000000	-1.#IND00	
-8.700000	-0.662969	-8.700000	-314.300267	-352.661990	-657.917925	-2278085.362397	-10853103920.550920	-143453800145555.940000	-561584289874911490.000000	-4521040433363845400000.000000	-1.#IND00	
-8.600000	-0.734397	-8.600000	-294.613181	-313.405579	-565.167733	-1870451.818417	-8395045594.843907	-107364150574890.140000	-401359121502860100.000000	-3084240824621867700000.000000	-1.#IND00	
-8.500000	-0.798487	-8.500000	-275.900260	-278.108822	-484.666216	-1532198.841369	-6470700054.521473	-80080418414479.359000	-285718502744030210.000000	-2094621741374092300000.000000	-1.#IND00	
-8.400000	-0.854599	-8.400000	-258.125952	-246.416018	-414.909569	-1252136.612920	-4969196399.570921	-59522043554150.516000	-202576864085732350.000000	-1416001701069630700000.000000	-1.#IND00	
-8.300000	-0.902172	-8.300000	-241.255554	-217.999072	-354.563988	-1020778.026631	-3801647223.090110	-44083610603197.297000	-143035982617080180.000000	-952740219383579800000.000000	-1.#IND00	
-8.200000	-0.940731	-8.200000	-225.255203	-192.555720	-302.448131	-830095.455109	-2896999437.186418	-32530169223440.094000	-100568257748660960.000000	-637951577428505920000.000000	-1.#IND00	
-8.100000	-0.969890	-8.100000	-210.091867	-169.807832	-257.517226	-673309.946734	-2198628203.310888	-23914754500673.504000	-70403016240505768.000000	-425061230954762530000.000000	-1.#IND00	
-8.000000	-0.989358	-8.000000	-195.733333	-149.499824	-218.848670	-544708.843995	-1661548135.116213	-17513586045586.406000	-49066961716166800.000000	-281781158269288510000.000000	-1.#IND00	
-7.900000	-0.998941	-7.900000	-182.148200	-131.397129	-185.628996	-439488.270877	-1250136003.642579	-12775306459866.121000	-34041264051638732.000000	-185828845867976030000.000000	-1.#IND00	
-7.800000	-0.998543	-7.800000	-169.305864	-115.284769	-157.142102	-353617.345079	-936276239.474306	-9281337463494.521500	-23506607766237812.000000	-121898094902420060000.000000	-1.#IND00	
-7.700000	-0.988168	-7.700000	-157.176513	-100.965994	-132.758619	-283721.336424	-697855011.549410	-6715014481018.974600	-16154338793670440.000000	-79524860991252349000.000000	-1.#IND00	
-7.600000	-0.967920	-7.600000	-145.731115	-88.260995	-111.926336	-226981.319722	-517540930.908370	-4837632057624.960000	-11047103856782764.000000	-51590332987219812000.000000	-1.#IND00	
-7.500000	-0.938000	-7.500000	-134.941406	-77.005692	-94.161571	-181048.162192	-381800795.838296	-3469913230909.856000	-7516412161082159.000000	-33275747741519004000.000000	-1.#IND00	
-7.400000	-0.898708	-7.400000	-124.779885	-67.050589	-79.041421	-143968.945780	-280107536.909382	-2477722574242.914600	-5087637807758996.000000	-21336019147673715000.000000	-1.#IND00	
-7.300000	-0.850437	-7.300000	-115.219799	-58.259695	-66.196803	-114124.156350	-204304873.971624	-1761088808954.679400	-3425337212070429.000000	-13597348096995924000.000000	-1.#IND00	
-7.200000	-0.793668	-7.200000	-106.235136	-50.509508	-55.306207	-90174.177670	-148099367.790440	-1245799991158.014600	-2293546412953535.500000	-8611454125574644700.000000	-1.#IND00	
-7.100000	-0.728969	-7.100000	-97.800613	-43.688056	-46.090114	-71013.810830	-106655714.002141	-876991632298.494750	-1527079180980792.500000	-5418801875132864500.000000	-1.#IND00	
-7.000000	-0.656987	-7.000000	-89.891667	-37.694001	-38.305999	-55733.701709	-76275439.201719	-614273349294.407230	-1010869925897765.400000	-3387304775783799800.000000	-1.#IND00	
-6.900000	-0.578440	-6.900000	-82.484446	-32.435792	-31.743875	-43587.702304	-54142749.496259	-428039006085.333070	-665174361701975.120000	-2103031069836320500.000000	-1.#IND00	
-6.800000	-0.494113	-6.800000	-75.555797	-27.830877	-26.222316	-33965.318309	-38124263.323980	-296683896351.326290	-435016565195890.120000	-1296552082571711000.000000	-1.#IND00	
-6.700000	-0.404850	-6.700000	-69.083259	-23.804960	-21.584924	-26368.506781	-26611829.052065	-204514468095.865660	-282700304782292.440000	-793588916008654980.000000	-1.#IND00	
-6.600000	-0.311541	-6.600000	-63.045048	-20.291308	-17.697188	-20392.185951	-18399666.027219	-140184762074.125240	-182521241478094.160000	-482132980592398270.000000	-1.#IND00	
-6.500000	-0.215120	-6.500000	-57.420052	-17.230105	-14.443695	-15707.905387	-12588745.359577	-95531841634.032196	-117052257614277.370000	-290672205038234370.000000	-1.#IND00	
-6.400000	-0.116549	-6.400000	-52.187819	-14.567844	-11.725668	-12050.200327	-8512703.232281	-64712218538.397743	-74547636654282.031000	-173860378693831330.000000	-1.#IND00	
-6.300000	-0.016814	-6.300000	-47.328545	-12.256768	-9.458783	-9205.220131	-5680705.324239	-43564384767.797722	-47138932351280.148000	-103144993226286820.000000	-1.#IND00	
-6.200000	0.083089	-6.200000	-42.823069	-10.254345	-7.571247	-7001.278546	-3733598.583497	-29140451089.040974	-29588079433584.699000	-60677915509000416.000000	-1.#IND00	
-6.100000	0.182163	-6.100000	-38.652858	-8.522781	-6.002104	-5301.023794	-2410431.969931	-19363692142.965702	-18430596412998.973000	-35385628306949088.000000	-1.#IND00	
