log(h)	log(f_error)	log(c_error)
-1.800000e+001	-1.505150e-001	-1.505150e-001
-1.782391e+001	-1.505150e-001	-1.505150e-001
-1.764782e+001	-1.505150e-001	-1.505150e-001
-1.747173e+001	-1.505150e-001	-1.505150e-001
-1.729563e+001	-1.505150e-001	-1.505150e-001
-1.711954e+001	-1.505150e-001	-1.505150e-001
-1.694345e+001	-1.505150e-001	-1.505150e-001
-1.676736e+001	-1.505150e-001	-1.505150e-001
-1.659127e+001	-1.505150e-001	-1.505150e-001
-1.641518e+001	-1.505150e-001	-1.505150e-001
-1.623909e+001	8.571496e-002	-5.925385e-001
-1.606300e+001	-2.392577e-001	-1.184813e+000
-1.588690e+001	-8.280379e-001	-5.539865e-001
-1.571081e+001	-3.627007e-001	-8.280379e-001
-1.553472e+001	-1.271612e+000	-1.271612e+000
-1.535863e+001	-1.271612e+000	-1.135108e+000
-1.518254e+001	-8.600688e-001	-1.271612e+000
-1.500645e+001	-1.087911e+000	-1.596306e+000
-1.483036e+001	-1.355424e+000	-2.183565e+000
-1.465427e+001	-1.355424e+000	-1.719575e+000
-1.447817e+001	-1.561930e+000	-1.969547e+000
-1.430208e+001	-2.287202e+000	-2.224213e+000
-1.412599e+001	-2.287202e+000	-2.646334e+000
-1.394990e+001	-2.287202e+000	-3.666637e+000
-1.377381e+001	-2.287202e+000	-2.729501e+000
-1.359772e+001	-3.116311e+000	-2.843659e+000
-1.342163e+001	-3.154576e+000	-3.154576e+000
-1.324554e+001	-3.558267e+000	-3.558267e+000
-1.306944e+001	-3.558267e+000	-3.558267e+000
-1.289335e+001	-3.802113e+000	-3.802113e+000
-1.271726e+001	-3.375438e+000	-3.880164e+000
-1.254117e+001	-4.452505e+000	-4.452505e+000
-1.236508e+001	-4.452505e+000	-4.029711e+000
-1.218899e+001	-4.452505e+000	-4.296715e+000
-1.201290e+001	-4.452505e+000	-4.452505e+000
-1.183681e+001	-5.545821e+000	-4.387549e+000
-1.166071e+001	-5.545821e+000	-5.545821e+000
-1.148462e+001	-4.850846e+000	-5.545821e+000
-1.130853e+001	-5.552500e+000	-5.552500e+000
-1.113244e+001	-5.552500e+000	-5.325300e+000
-1.095635e+001	-5.552500e+000	-5.552500e+000
-1.078026e+001	-6.263875e+000	-5.409880e+000
-1.060417e+001	-5.772992e+000	-6.263875e+000
-1.042808e+001	-5.772992e+000	-6.700953e+000
-1.025198e+001	-5.772992e+000	-6.158064e+000
-1.007589e+001	-6.438462e+000	-6.527619e+000
-9.899802e+000	-6.438462e+000	-7.117058e+000
-9.723711e+000	-6.438462e+000	-7.151565e+000
-9.547620e+000	-6.773446e+000	-7.562212e+000
-9.371528e+000	-7.421447e+000	-7.032934e+000
-9.195437e+000	-6.903256e+000	-7.421447e+000
-9.019346e+000	-7.174494e+000	-8.051952e+000
-8.843255e+000	-7.549456e+000	-7.979885e+000
-8.667163e+000	-7.549456e+000	-8.615526e+000
-8.491072e+000	-7.957733e+000	-7.957733e+000
-8.314981e+000	-9.354097e+000	-9.354097e+000
-8.138889e+000	-8.142630e+000	-9.354097e+000
-7.962798e+000	-8.676704e+000	-8.676704e+000
-7.786707e+000	-8.888831e+000	-8.676704e+000
-7.610616e+000	-8.092288e+000	-9.011932e+000
-7.434524e+000	-7.899118e+000	-9.270148e+000
-7.258433e+000	-7.706409e+000	-9.270148e+000
-7.082342e+000	-7.536789e+000	-9.696051e+000
-6.906251e+000	-7.362821e+000	-1.065135e+001
-6.730159e+000	-7.182199e+000	-9.896904e+000
-6.554068e+000	-7.006387e+000	-1.014254e+001
-6.377977e+000	-6.830190e+000	-1.014254e+001
-6.201886e+000	-6.653510e+000	-1.078673e+001
-6.025794e+000	-6.477410e+000	-1.088229e+001
-5.849703e+000	-6.301219e+000	-1.033918e+001
-5.673612e+000	-6.125183e+000	-1.070645e+001
-5.497521e+000	-5.949069e+000	-1.118557e+001
-5.321429e+000	-5.772972e+000	-1.090866e+001
-5.145338e+000	-5.596883e+000	-1.107252e+001
-4.969247e+000	-5.420791e+000	-1.095672e+001
-4.793156e+000	-5.244698e+000	-1.047550e+001
-4.617064e+000	-5.068606e+000	-1.015345e+001
-4.440973e+000	-4.892513e+000	-9.813195e+000
-4.264882e+000	-4.716419e+000	-9.457981e+000
-4.088791e+000	-4.540324e+000	-9.106319e+000
-3.912699e+000	-4.364227e+000	-8.754116e+000
-3.736608e+000	-4.188126e+000	-8.401902e+000
-3.560517e+000	-4.012022e+000	-8.049698e+000
-3.384425e+000	-3.835911e+000	-7.697518e+000
-3.208334e+000	-3.659790e+000	-7.345334e+000
-3.032243e+000	-3.483654e+000	-6.993152e+000
-2.856152e+000	-3.307495e+000	-6.640970e+000
-2.680060e+000	-3.131303e+000	-6.288787e+000
-2.503969e+000	-2.955061e+000	-5.936605e+000
-2.327878e+000	-2.778744e+000	-5.584423e+000
-2.151787e+000	-2.602314e+000	-5.232241e+000
-1.975695e+000	-2.425716e+000	-4.880060e+000
-1.799604e+000	-2.248868e+000	-4.527880e+000
-1.623513e+000	-2.071647e+000	-4.175704e+000
-1.447422e+000	-1.893876e+000	-3.823537e+000
-1.271330e+000	-1.715296e+000	-3.471389e+000
-1.095239e+000	-1.535542e+000	-3.119285e+000
