x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
0.000000e+000	0.000000e+000	1.000000e+000	1.000000e+000	1.720520e-015	1.720520e-015
1.000000e-002	9.999833e-003	9.999500e-001	9.999500e-001	4.961300e-010	1.733790e-012
2.000000e-002	1.999867e-002	9.998000e-001	9.998000e-001	9.991716e-010	-6.968027e-012
3.000000e-002	2.999550e-002	9.995500e-001	9.995500e-001	1.526303e-009	1.709339e-011
4.000000e-002	3.998933e-002	9.992001e-001	9.992001e-001	1.990505e-009	-2.177374e-011
5.000000e-002	4.997917e-002	9.987503e-001	9.987503e-001	2.481561e-009	-1.644112e-011
6.000000e-002	5.996401e-002	9.982005e-001	9.982005e-001	2.984993e-009	1.268607e-012
7.000000e-002	6.994285e-002	9.975510e-001	9.975510e-001	3.446962e-009	-2.248528e-011
8.000000e-002	7.991469e-002	9.968017e-001	9.968017e-001	4.011625e-009	-1.293381e-011
9.000000e-002	8.987855e-002	9.959527e-001	9.959527e-001	4.390143e-009	-5.074956e-011
1.000000e-001	9.983342e-002	9.950042e-001	9.950042e-001	4.963409e-009	-3.259431e-011
1.100000e-001	1.097783e-001	9.939561e-001	9.939561e-001	5.524561e-009	-2.655392e-011
1.200000e-001	1.197122e-001	9.928086e-001	9.928086e-001	5.963381e-009	-7.345629e-011
1.300000e-001	1.296341e-001	9.915619e-001	9.915619e-001	6.394597e-009	1.081419e-011
1.400000e-001	1.395431e-001	9.902160e-001	9.902160e-001	7.007625e-009	6.873109e-011
1.500000e-001	1.494381e-001	9.887711e-001	9.887711e-001	7.360220e-009	-1.337856e-010
1.600000e-001	1.593182e-001	9.872273e-001	9.872273e-001	8.169123e-009	-1.877158e-011
1.700000e-001	1.691823e-001	9.855848e-001	9.855848e-001	8.381281e-009	-8.416938e-011
1.800000e-001	1.790296e-001	9.838437e-001	9.838437e-001	9.044187e-009	2.362472e-011
1.900000e-001	1.888589e-001	9.820042e-001	9.820042e-001	9.403675e-009	-3.322069e-011
2.000000e-001	1.986693e-001	9.800666e-001	9.800666e-001	9.939625e-009	8.639596e-011
2.100000e-001	2.084599e-001	9.780309e-001	9.780309e-001	1.040468e-008	-3.663891e-012
2.200000e-001	2.182296e-001	9.758974e-001	9.758974e-001	1.091508e-008	-4.837635e-011
2.300000e-001	2.279775e-001	9.736664e-001	9.736664e-001	1.137521e-008	-4.578604e-012
2.400000e-001	2.377026e-001	9.713380e-001	9.713380e-001	1.173382e-008	-6.230298e-011
2.500000e-001	2.474040e-001	9.689124e-001	9.689124e-001	1.251681e-008	2.680174e-011
2.600000e-001	2.570806e-001	9.663900e-001	9.663900e-001	1.286108e-008	-1.840361e-010
2.700000e-001	2.667314e-001	9.637709e-001	9.637709e-001	1.326582e-008	-5.685379e-011
2.800000e-001	2.763556e-001	9.610554e-001	9.610554e-001	1.362439e-008	-2.534026e-010
2.900000e-001	2.859522e-001	9.582439e-001	9.582439e-001	1.458590e-008	-1.245575e-010
3.000000e-001	2.955202e-001	9.553365e-001	9.553365e-001	1.475254e-008	4.208118e-011
3.100000e-001	3.050586e-001	9.523336e-001	9.523336e-001	1.509231e-008	-1.732586e-010
3.200000e-001	3.145666e-001	9.492354e-001	9.492354e-001	1.557931e-008	3.618379e-011
3.300000e-001	3.240430e-001	9.460423e-001	9.460423e-001	1.627391e-008	-1.018843e-010
3.400000e-001	3.334871e-001	9.427546e-001	9.427547e-001	1.673667e-008	8.332364e-011
3.500000e-001	3.428978e-001	9.393727e-001	9.393727e-001	1.710664e-008	-1.018147e-010
3.600000e-001	3.522742e-001	9.358968e-001	9.358968e-001	1.751336e-008	2.735097e-011
3.700000e-001	3.616154e-001	9.323273e-001	9.323273e-001	1.804305e-008	-2.756329e-010
3.800000e-001	3.709205e-001	9.286646e-001	9.286646e-001	1.870382e-008	1.075869e-010
3.900000e-001	3.801884e-001	9.249090e-001	9.249091e-001	1.883493e-008	-3.885996e-011
4.000000e-001	3.894183e-001	9.210610e-001	9.210610e-001	1.984566e-008	1.391978e-010
4.100000e-001	3.986093e-001	9.171208e-001	9.171208e-001	1.962665e-008	-7.980620e-011
4.200000e-001	4.077605e-001	9.130889e-001	9.130889e-001	2.028303e-008	2.145657e-011
4.300000e-001	4.168708e-001	9.089657e-001	9.089657e-001	2.087849e-008	-2.157483e-010
4.400000e-001	4.259395e-001	9.047516e-001	9.047517e-001	2.072570e-008	-9.097982e-011
4.500000e-001	4.349655e-001	9.004471e-001	9.004471e-001	2.156550e-008	-8.385341e-011
4.600000e-001	4.439481e-001	8.960525e-001	8.960525e-001	2.252872e-008	4.670871e-011
4.700000e-001	4.528863e-001	8.915683e-001	8.915683e-001	2.231367e-008	-1.683467e-010
4.800000e-001	4.617792e-001	8.869949e-001	8.869949e-001	2.302787e-008	-9.258079e-012
4.900000e-001	4.706259e-001	8.823328e-001	8.823329e-001	2.348195e-008	1.672633e-010
5.000000e-001	4.794255e-001	8.775825e-001	8.775826e-001	2.413987e-008	2.700789e-010
5.100000e-001	4.881772e-001	8.727445e-001	8.727445e-001	2.485191e-008	4.270033e-010
5.200000e-001	4.968801e-001	8.678192e-001	8.678192e-001	2.536221e-008	6.597462e-010
5.300000e-001	5.055333e-001	8.628070e-001	8.628071e-001	2.581555e-008	2.804215e-010
5.400000e-001	5.141360e-001	8.577087e-001	8.577087e-001	2.615298e-008	6.178518e-010
5.500000e-001	5.226872e-001	8.525245e-001	8.525245e-001	2.661680e-008	-2.855509e-011
5.600000e-001	5.311862e-001	8.472551e-001	8.472551e-001	2.714446e-008	4.991048e-010
5.700000e-001	5.396320e-001	8.419009e-001	8.419010e-001	2.842696e-008	6.713851e-010
5.800000e-001	5.480239e-001	8.364626e-001	8.364626e-001	2.741526e-008	2.147999e-010
5.900000e-001	5.563610e-001	8.309407e-001	8.309407e-001	2.836897e-008	6.133943e-010
6.000000e-001	5.646425e-001	8.253356e-001	8.253356e-001	2.836905e-008	6.134705e-010
6.100000e-001	5.728675e-001	8.196480e-001	8.196480e-001	2.836484e-008	5.414920e-011
6.200000e-001	5.810352e-001	8.138784e-001	8.138785e-001	2.867712e-008	3.664316e-010
6.300000e-001	5.891448e-001	8.080275e-001	8.080275e-001	3.005145e-008	7.543218e-011
6.400000e-001	5.971954e-001	8.020957e-001	8.020958e-001	3.026982e-008	2.937994e-010
6.500000e-001	6.051864e-001	7.960838e-001	7.960838e-001	3.075345e-008	2.223146e-010
6.600000e-001	6.131169e-001	7.899922e-001	7.899922e-001	3.206260e-008	4.212450e-010
6.700000e-001	6.209860e-001	7.838216e-001	7.838217e-001	3.161602e-008	5.297791e-010
6.800000e-001	6.287930e-001	7.775727e-001	7.775727e-001	3.140158e-008	3.153347e-010
6.900000e-001	6.365372e-001	7.712460e-001	7.712460e-001	3.236343e-008	7.220775e-010
7.000000e-001	6.442177e-001	7.648422e-001	7.648422e-001	3.211912e-008	4.777636e-010
7.100000e-001	6.518338e-001	7.583618e-001	7.583619e-001	3.266783e-008	4.713655e-010
7.200000e-001	6.593847e-001	7.518057e-001	7.518057e-001	3.255483e-008	3.583661e-010
7.300000e-001	6.668696e-001	7.451744e-001	7.451744e-001	3.457820e-008	7.164022e-010
7.400000e-001	6.742879e-001	7.384685e-001	7.384686e-001	3.462106e-008	7.592588e-010
7.500000e-001	6.816388e-001	7.316888e-001	7.316889e-001	3.379769e-008	4.910023e-010
7.600000e-001	6.889214e-001	7.248360e-001	7.248360e-001	3.505584e-008	6.389235e-010
7.700000e-001	6.961352e-001	7.179106e-001	7.179107e-001	3.533732e-008	3.652959e-010
7.800000e-001	7.032794e-001	7.109135e-001	7.109135e-001	3.550154e-008	5.295168e-010
7.900000e-001	7.103533e-001	7.038453e-001	7.038453e-001	3.581532e-008	2.881868e-010
8.000000e-001	7.173561e-001	6.967067e-001	6.967067e-001	3.699317e-008	9.109195e-010
8.100000e-001	7.242872e-001	6.894984e-001	6.894984e-001	3.679591e-008	1.585458e-010
8.200000e-001	7.311458e-001	6.822212e-001	6.822212e-001	3.662065e-008	-1.671011e-011
8.300000e-001	7.379314e-001	6.748757e-001	6.748758e-001	3.809804e-008	3.504612e-010
8.400000e-001	7.446431e-001	6.674628e-001	6.674628e-001	3.746838e-008	2.759064e-010
8.500000e-001	7.512804e-001	6.599831e-001	6.599831e-001	3.772058e-008	5.281134e-010
8.600000e-001	7.578426e-001	6.524374e-001	6.524375e-001	3.741589e-008	2.234150e-010
8.700000e-001	7.643289e-001	6.448265e-001	6.448265e-001	3.838456e-008	8.186138e-011
8.800000e-001	7.707389e-001	6.371511e-001	6.371511e-001	3.898913e-008	6.864307e-010
8.900000e-001	7.770717e-001	6.294120e-001	6.294120e-001	3.848917e-008	1.864748e-010
9.000000e-001	7.833269e-001	6.216099e-001	6.216100e-001	3.918500e-008	3.271935e-010
9.100000e-001	7.895037e-001	6.137457e-001	6.137457e-001	3.967893e-008	2.660173e-010
9.200000e-001	7.956016e-001	6.058201e-001	6.058202e-001	4.034840e-008	3.803696e-010
9.300000e-001	8.016199e-001	5.978339e-001	5.978340e-001	4.104683e-008	5.236908e-010
9.400000e-001	8.075581e-001	5.897880e-001	5.897880e-001	4.102444e-008	5.012951e-010
9.500000e-001	8.134155e-001	5.816830e-001	5.816831e-001	4.106876e-008	5.456219e-010
9.600000e-001	8.191916e-001	5.735199e-001	5.735200e-001	4.120381e-008	6.806656e-010
9.700000e-001	8.248857e-001	5.652995e-001	5.652995e-001	4.171918e-008	6.409285e-010
9.800000e-001	8.304974e-001	5.570225e-001	5.570225e-001	4.197826e-008	3.449015e-010
9.900000e-001	8.360260e-001	5.486898e-001	5.486899e-001	4.144623e-008	-1.871382e-010
1.000000e+000	8.414710e-001	5.403023e-001	5.403023e-001	4.182769e-008	1.943271e-010
1.010000e+000	8.468318e-001	5.318607e-001	5.318607e-001	4.143231e-008	-7.561623e-010
1.020000e+000	8.521080e-001	5.233659e-001	5.233660e-001	4.286245e-008	1.188674e-010
1.030000e+000	8.572990e-001	5.148188e-001	5.148188e-001	4.182654e-008	-3.619333e-010
1.040000e+000	8.624042e-001	5.062202e-001	5.062203e-001	4.259724e-008	-1.463420e-010
1.050000e+000	8.674232e-001	4.975710e-001	4.975710e-001	4.349310e-008	-3.607057e-010
1.060000e+000	8.723555e-001	4.888720e-001	4.888721e-001	4.345389e-008	-3.999228e-010
1.070000e+000	8.772005e-001	4.801242e-001	4.801242e-001	4.417454e-008	-2.343792e-010
1.080000e+000	8.819578e-001	4.713283e-001	4.713284e-001	4.446710e-008	5.817522e-011
1.090000e+000	8.866269e-001	4.624853e-001	4.624854e-001	4.461407e-008	-3.499625e-010
1.100000e+000	8.912074e-001	4.535961e-001	4.535961e-001	4.406007e-008	-3.488477e-010
1.110000e+000	8.956987e-001	4.446615e-001	4.446615e-001	4.465405e-008	-3.099859e-010
1.120000e+000	9.001004e-001	4.356824e-001	4.356824e-001	4.500925e-008	4.522247e-011
1.130000e+000	9.044122e-001	4.266598e-001	4.266598e-001	4.485484e-008	-6.643085e-010
1.140000e+000	9.086335e-001	4.175945e-001	4.175945e-001	4.494601e-008	-5.731359e-010
1.150000e+000	9.127639e-001	4.084874e-001	4.084874e-001	4.586363e-008	-2.106282e-010
1.160000e+000	9.168031e-001	3.993395e-001	3.993395e-001	4.570309e-008	-3.711703e-010
1.170000e+000	9.207506e-001	3.901516e-001	3.901517e-001	4.664458e-008	1.521304e-011
1.180000e+000	9.246060e-001	3.809248e-001	3.809248e-001	4.597985e-008	-9.440073e-011
1.190000e+000	9.283690e-001	3.716598e-001	3.716599e-001	4.601233e-008	-6.192853e-011
1.200000e+000	9.320391e-001	3.623577e-001	3.623578e-001	4.619326e-008	1.190055e-010
1.210000e+000	9.356160e-001	3.530194e-001	3.530194e-001	4.635979e-008	-2.695781e-010
1.220000e+000	9.390994e-001	3.436457e-001	3.436457e-001	4.664189e-008	1.252369e-011
1.230000e+000	9.424888e-001	3.342377e-001	3.342377e-001	4.736901e-008	1.845341e-010
1.240000e+000	9.457840e-001	3.247962e-001	3.247963e-001	4.675589e-008	-4.285926e-010
1.250000e+000	9.489846e-001	3.153223e-001	3.153224e-001	4.746979e-008	-2.698036e-010
1.260000e+000	9.520903e-001	3.058169e-001	3.058169e-001	4.765434e-008	-8.525249e-011
1.270000e+000	9.551009e-001	2.962808e-001	2.962809e-001	4.749611e-008	-2.434793e-010
