x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
0.000000e+000	0.000000e+000	1.419546e-007	1.419546e-007	9.999999e-001	9.999999e-001
1.000000e-002	9.999833e-003	1.418463e-007	1.419475e-007	9.999499e-001	9.999499e-001
2.000000e-002	1.999867e-002	1.417237e-007	1.419262e-007	9.997999e-001	9.997999e-001
3.000000e-002	2.999550e-002	1.415870e-007	1.418908e-007	9.995499e-001	9.995499e-001
4.000000e-002	3.998933e-002	1.414361e-007	1.418411e-007	9.992000e-001	9.992000e-001
5.000000e-002	4.997917e-002	1.412711e-007	1.417772e-007	9.987501e-001	9.987501e-001
6.000000e-002	5.996401e-002	1.410919e-007	1.416992e-007	9.982004e-001	9.982004e-001
7.000000e-002	6.994285e-002	1.408987e-007	1.416070e-007	9.975509e-001	9.975509e-001
8.000000e-002	7.991469e-002	1.406913e-007	1.415006e-007	9.968016e-001	9.968016e-001
9.000000e-002	8.987855e-002	1.404699e-007	1.413801e-007	9.959526e-001	9.959526e-001
1.000000e-001	9.983342e-002	1.402344e-007	1.412454e-007	9.950040e-001	9.950040e-001
1.100000e-001	1.097783e-001	1.399850e-007	1.410967e-007	9.939560e-001	9.939560e-001
1.200000e-001	1.197122e-001	1.397215e-007	1.409338e-007	9.928085e-001	9.928085e-001
1.300000e-001	1.296341e-001	1.394440e-007	1.407568e-007	9.915618e-001	9.915618e-001
1.400000e-001	1.395431e-001	1.391526e-007	1.405657e-007	9.902159e-001	9.902159e-001
1.500000e-001	1.494381e-001	1.388473e-007	1.403606e-007	9.887709e-001	9.887709e-001
1.600000e-001	1.593182e-001	1.385281e-007	1.401415e-007	9.872271e-001	9.872271e-001
1.700000e-001	1.691823e-001	1.381950e-007	1.399083e-007	9.855846e-001	9.855846e-001
1.800000e-001	1.790296e-001	1.378482e-007	1.396612e-007	9.838436e-001	9.838436e-001
1.900000e-001	1.888589e-001	1.374875e-007	1.394000e-007	9.820041e-001	9.820041e-001
2.000000e-001	1.986693e-001	1.371131e-007	1.391250e-007	9.800664e-001	9.800664e-001
2.100000e-001	2.084599e-001	1.367250e-007	1.388360e-007	9.780308e-001	9.780308e-001
2.200000e-001	2.182296e-001	1.363232e-007	1.385332e-007	9.758973e-001	9.758973e-001
2.300000e-001	2.279775e-001	1.359078e-007	1.382165e-007	9.736663e-001	9.736663e-001
2.400000e-001	2.377026e-001	1.354787e-007	1.378859e-007	9.713378e-001	9.713378e-001
2.500000e-001	2.474040e-001	1.350362e-007	1.375416e-007	9.689123e-001	9.689123e-001
2.600000e-001	2.570806e-001	1.345801e-007	1.371835e-007	9.663898e-001	9.663898e-001
2.700000e-001	2.667314e-001	1.341106e-007	1.368117e-007	9.637708e-001	9.637708e-001
2.800000e-001	2.763556e-001	1.336277e-007	1.364263e-007	9.610553e-001	9.610553e-001
2.900000e-001	2.859522e-001	1.331314e-007	1.360272e-007	9.582437e-001	9.582437e-001
3.000000e-001	2.955202e-001	1.326218e-007	1.356144e-007	9.553364e-001	9.553364e-001
3.100000e-001	3.050586e-001	1.320989e-007	1.351882e-007	9.523334e-001	9.523334e-001
3.200000e-001	3.145666e-001	1.315628e-007	1.347484e-007	9.492353e-001	9.492353e-001
3.300000e-001	3.240430e-001	1.310136e-007	1.342951e-007	9.460422e-001	9.460422e-001
3.400000e-001	3.334871e-001	1.304512e-007	1.338284e-007	9.427545e-001	9.427545e-001
3.500000e-001	3.428978e-001	1.298758e-007	1.333483e-007	9.393726e-001	9.393726e-001
3.600000e-001	3.522742e-001	1.292875e-007	1.328549e-007	9.358967e-001	9.358967e-001
3.700000e-001	3.616154e-001	1.286862e-007	1.323482e-007	9.323272e-001	9.323272e-001
3.800000e-001	3.709205e-001	1.280720e-007	1.318282e-007	9.286645e-001	9.286645e-001
3.900000e-001	3.801884e-001	1.274450e-007	1.312951e-007	9.249089e-001	9.249089e-001
4.000000e-001	3.894183e-001	1.268053e-007	1.307489e-007	9.210609e-001	9.210609e-001
4.100000e-001	3.986093e-001	1.261529e-007	1.301895e-007	9.171207e-001	9.171207e-001
4.200000e-001	4.077605e-001	1.254879e-007	1.296172e-007	9.130888e-001	9.130888e-001
4.300000e-001	4.168708e-001	1.248103e-007	1.290319e-007	9.089656e-001	9.089656e-001
4.400000e-001	4.259395e-001	1.241203e-007	1.284337e-007	9.047515e-001	9.047515e-001
4.500000e-001	4.349655e-001	1.234178e-007	1.278226e-007	9.004470e-001	9.004470e-001
4.600000e-001	4.439481e-001	1.227030e-007	1.271988e-007	8.960524e-001	8.960524e-001
4.700000e-001	4.528863e-001	1.219759e-007	1.265622e-007	8.915682e-001	8.915682e-001
4.800000e-001	4.617792e-001	1.212367e-007	1.259130e-007	8.869948e-001	8.869948e-001
4.900000e-001	4.706259e-001	1.204853e-007	1.252512e-007	8.823327e-001	8.823327e-001
5.000000e-001	4.794255e-001	1.197218e-007	1.245769e-007	8.775824e-001	8.775824e-001
5.100000e-001	4.881772e-001	1.189464e-007	1.238901e-007	8.727444e-001	8.727444e-001
5.200000e-001	4.968801e-001	1.181591e-007	1.231909e-007	8.678191e-001	8.678191e-001
5.300000e-001	5.055333e-001	1.173600e-007	1.224795e-007	8.628070e-001	8.628069e-001
5.400000e-001	5.141360e-001	1.165491e-007	1.217557e-007	8.577086e-001	8.577086e-001
5.500000e-001	5.226872e-001	1.157266e-007	1.210198e-007	8.525244e-001	8.525244e-001
5.600000e-001	5.311862e-001	1.148925e-007	1.202718e-007	8.472550e-001	8.472550e-001
5.700000e-001	5.396320e-001	1.140470e-007	1.195117e-007	8.419009e-001	8.419009e-001
5.800000e-001	5.480239e-001	1.131900e-007	1.187397e-007	8.364625e-001	8.364625e-001
5.900000e-001	5.563610e-001	1.123217e-007	1.179559e-007	8.309406e-001	8.309406e-001
6.000000e-001	5.646425e-001	1.114422e-007	1.171602e-007	8.253355e-001	8.253355e-001
6.100000e-001	5.728675e-001	1.105515e-007	1.163528e-007	8.196479e-001	8.196479e-001
6.200000e-001	5.810352e-001	1.096498e-007	1.155338e-007	8.138783e-001	8.138783e-001
6.300000e-001	5.891448e-001	1.087371e-007	1.147032e-007	8.080274e-001	8.080274e-001
6.400000e-001	5.971954e-001	1.078135e-007	1.138612e-007	8.020957e-001	8.020956e-001
6.500000e-001	6.051864e-001	1.068792e-007	1.130078e-007	7.960837e-001	7.960837e-001
6.600000e-001	6.131169e-001	1.059341e-007	1.121431e-007	7.899921e-001	7.899921e-001
6.700000e-001	6.209860e-001	1.049785e-007	1.112671e-007	7.838216e-001	7.838216e-001
6.800000e-001	6.287930e-001	1.040124e-007	1.103800e-007	7.775726e-001	7.775726e-001
6.900000e-001	6.365372e-001	1.030358e-007	1.094819e-007	7.712459e-001	7.712459e-001
7.000000e-001	6.442177e-001	1.020490e-007	1.085729e-007	7.648421e-001	7.648421e-001
7.100000e-001	6.518338e-001	1.010520e-007	1.076530e-007	7.583618e-001	7.583618e-001
7.200000e-001	6.593847e-001	1.000448e-007	1.067223e-007	7.518056e-001	7.518056e-001
7.300000e-001	6.668696e-001	9.902767e-008	1.057810e-007	7.451743e-001	7.451743e-001
7.400000e-001	6.742879e-001	9.800062e-008	1.048290e-007	7.384685e-001	7.384685e-001
7.500000e-001	6.816388e-001	9.696377e-008	1.038666e-007	7.316888e-001	7.316888e-001
7.600000e-001	6.889214e-001	9.591723e-008	1.028938e-007	7.248359e-001	7.248359e-001
7.700000e-001	6.961352e-001	9.486109e-008	1.019107e-007	7.179106e-001	7.179106e-001
7.800000e-001	7.032794e-001	9.379547e-008	1.009175e-007	7.109134e-001	7.109134e-001
7.900000e-001	7.103533e-001	9.272047e-008	9.991410e-008	7.038452e-001	7.038452e-001
8.000000e-001	7.173561e-001	9.163619e-008	9.890074e-008	6.967066e-001	6.967066e-001
8.100000e-001	7.242872e-001	9.054275e-008	9.787749e-008	6.894983e-001	6.894983e-001
8.200000e-001	7.311458e-001	8.944026e-008	9.684446e-008	6.822211e-001	6.822211e-001
8.300000e-001	7.379314e-001	8.832882e-008	9.580174e-008	6.748757e-001	6.748757e-001
8.400000e-001	7.446431e-001	8.720856e-008	9.474944e-008	6.674627e-001	6.674627e-001
8.500000e-001	7.512804e-001	8.607957e-008	9.368766e-008	6.599831e-001	6.599831e-001
8.600000e-001	7.578426e-001	8.494197e-008	9.261652e-008	6.524374e-001	6.524374e-001
8.700000e-001	7.643289e-001	8.379588e-008	9.153611e-008	6.448265e-001	6.448265e-001
8.800000e-001	7.707389e-001	8.264140e-008	9.044655e-008	6.371511e-001	6.371511e-001
8.900000e-001	7.770717e-001	8.147867e-008	8.934795e-008	6.294119e-001	6.294119e-001
9.000000e-001	7.833269e-001	8.030779e-008	8.824041e-008	6.216099e-001	6.216099e-001
9.100000e-001	7.895037e-001	7.912887e-008	8.712405e-008	6.137457e-001	6.137457e-001
9.200000e-001	7.956016e-001	7.794204e-008	8.599897e-008	6.058201e-001	6.058201e-001
9.300000e-001	8.016199e-001	7.674742e-008	8.486530e-008	5.978339e-001	5.978339e-001
9.400000e-001	8.075581e-001	7.554513e-008	8.372314e-008	5.897879e-001	5.897879e-001
9.500000e-001	8.134155e-001	7.433528e-008	8.257261e-008	5.816830e-001	5.816830e-001
9.600000e-001	8.191916e-001	7.311799e-008	8.141382e-008	5.735199e-001	5.735199e-001
9.700000e-001	8.248857e-001	7.189340e-008	8.024688e-008	5.652995e-001	5.652995e-001
9.800000e-001	8.304974e-001	7.066161e-008	7.907193e-008	5.570225e-001	5.570225e-001
9.900000e-001	8.360260e-001	6.942276e-008	7.788907e-008	5.486898e-001	5.486898e-001
1.000000e+000	8.414710e-001	6.817697e-008	7.669841e-008	5.403022e-001	5.403022e-001
1.010000e+000	8.468318e-001	6.692436e-008	7.550009e-008	5.318607e-001	5.318606e-001
1.020000e+000	8.521080e-001	6.566506e-008	7.429422e-008	5.233659e-001	5.233659e-001
1.030000e+000	8.572990e-001	6.439919e-008	7.308092e-008	5.148188e-001	5.148188e-001
1.040000e+000	8.624042e-001	6.312688e-008	7.186031e-008	5.062202e-001	5.062202e-001
1.050000e+000	8.674232e-001	6.184826e-008	7.063251e-008	4.975710e-001	4.975710e-001
1.060000e+000	8.723555e-001	6.056345e-008	6.939765e-008	4.888720e-001	4.888720e-001
1.070000e+000	8.772005e-001	5.927259e-008	6.815586e-008	4.801242e-001	4.801242e-001
