theta_zero	approximation	T
0.100000	2.006067	2.019090
0.110000	2.006067	2.019357
0.120000	2.006067	2.019649
0.130000	2.006067	2.019967
0.140000	2.006067	2.020310
0.150000	2.006067	2.020679
0.160000	2.006067	2.021073
0.170000	2.006067	2.021493
0.180000	2.006067	2.021938
0.190000	2.006067	2.022410
0.200000	2.006067	2.022906
0.210000	2.006067	2.023429
0.220000	2.006067	2.023977
0.230000	2.006067	2.024552
0.240000	2.006067	2.025152
0.250000	2.006067	2.025778
0.260000	2.006067	2.026429
0.270000	2.006067	2.027107
0.280000	2.006067	2.027811
0.290000	2.006067	2.028541
0.300000	2.006067	2.029297
0.310000	2.006067	2.030079
0.320000	2.006067	2.030887
0.330000	2.006067	2.031722
0.340000	2.006067	2.032583
0.350000	2.006067	2.033471
0.360000	2.006067	2.034385
0.370000	2.006067	2.035325
0.380000	2.006067	2.036292
0.390000	2.006067	2.037286
0.400000	2.006067	2.038306
0.410000	2.006067	2.039354
0.420000	2.006067	2.040428
0.430000	2.006067	2.041529
0.440000	2.006067	2.042657
0.450000	2.006067	2.043812
0.460000	2.006067	2.044995
0.470000	2.006067	2.046205
0.480000	2.006067	2.047442
0.490000	2.006067	2.048707
0.500000	2.006067	2.049999
0.510000	2.006067	2.051319
0.520000	2.006067	2.052667
0.530000	2.006067	2.054042
0.540000	2.006067	2.055446
0.550000	2.006067	2.056877
0.560000	2.006067	2.058337
0.570000	2.006067	2.059825
0.580000	2.006067	2.061342
0.590000	2.006067	2.062887
0.600000	2.006067	2.064460
0.610000	2.006067	2.066063
0.620000	2.006067	2.067694
0.630000	2.006067	2.069354
0.640000	2.006067	2.071043
0.650000	2.006067	2.072762
0.660000	2.006067	2.074509
0.670000	2.006067	2.076287
0.680000	2.006067	2.078094
0.690000	2.006067	2.079931
0.700000	2.006067	2.081797
0.710000	2.006067	2.083694
0.720000	2.006067	2.085621
0.730000	2.006067	2.087578
0.740000	2.006067	2.089566
0.750000	2.006067	2.091585
0.760000	2.006067	2.093634
0.770000	2.006067	2.095714
0.780000	2.006067	2.097826
0.790000	2.006067	2.099968
0.800000	2.006067	2.102143
0.810000	2.006067	2.104348
0.820000	2.006067	2.106586
0.830000	2.006067	2.108856
0.840000	2.006067	2.111158
0.850000	2.006067	2.113492
0.860000	2.006067	2.115859
0.870000	2.006067	2.118259
0.880000	2.006067	2.120691
0.890000	2.006067	2.123157
0.900000	2.006067	2.125656
0.910000	2.006067	2.128189
0.920000	2.006067	2.130756
0.930000	2.006067	2.133356
0.940000	2.006067	2.135991
0.950000	2.006067	2.138660
0.960000	2.006067	2.141364
0.970000	2.006067	2.144103
0.980000	2.006067	2.146877
0.990000	2.006067	2.149686
1.000000	2.006067	2.152531
1.010000	2.006067	2.155412
1.020000	2.006067	2.158329
1.030000	2.006067	2.161282
1.040000	2.006067	2.164272
