log(N)	log(calc_Pi-Pi)
2.302585	-0.066307
2.708050	-0.227869
3.091042	-0.382664
3.496508	-0.882283
3.891820	-1.402833
4.290459	-0.893150
4.691348	-0.220745
5.093750	-1.130135
5.497168	-0.729843
5.902633	-1.083804
6.308098	-1.798341
6.712956	-1.257095
7.118016	-1.543852
7.523481	-1.633050
7.928766	-1.332624
8.334231	-2.354500
8.739697	-1.843234
9.145162	-1.782994
9.550591	-1.845002
9.956033	-1.720022
10.361482	-1.766638
10.766947	-2.567749
11.172405	-2.353667
11.577870	-2.235360
11.983335	-2.515012
12.388798	-3.482917
12.794262	-2.474092
13.199726	-2.470174
13.605191	-2.413522
14.010655	-2.749286
14.416120	-2.921992
14.821585	-3.026500
15.227050	-3.349182
15.632515	-3.125204
16.037980	-3.231981
16.443446	-3.472397
16.848911	-3.778276
17.254376	-3.789255
17.659841	-3.464306
18.065306	-3.671237
18.470771	-3.433977
18.876236	-3.676063
19.281701	-4.110624
19.687166	-3.697716
20.092631	-3.640113
20.498097	-3.753956
20.903562	-3.688259
21.309027	0.378603
21.714492	0.202528
22.119957	
