t	y	v	y_analytic	v_analytic
0.000000	1000.000000	0.000000	1000.000000	-0.000000
0.010000	999.999019	-0.098100	999.999510	-0.098099
0.020000	999.997057	-0.196200	999.998038	-0.196189
0.030000	999.994114	-0.294300	999.995586	-0.294263
0.040000	999.990190	-0.392400	999.992153	-0.392311
0.050000	999.985285	-0.490500	999.987740	-0.490327
0.060000	999.979399	-0.588600	999.982346	-0.588301
0.070000	999.972532	-0.686700	999.975974	-0.686225
0.080000	999.964684	-0.784800	999.968622	-0.784091
0.090000	999.955855	-0.882900	999.960292	-0.881891
0.100000	999.946045	-0.981000	999.950985	-0.979617
0.110000	999.935254	-1.079100	999.940700	-1.077259
0.120000	999.923487	-1.176734	999.929440	-1.174811
0.130000	999.910743	-1.274325	999.917204	-1.272264
0.140000	999.897025	-1.371875	999.903995	-1.369610
0.150000	999.882331	-1.469382	999.889812	-1.466841
0.160000	999.866662	-1.566848	999.874658	-1.563948
0.170000	999.850020	-1.664271	999.858534	-1.660925
0.180000	999.832403	-1.761652	999.841440	-1.757762
0.190000	999.813813	-1.858991	999.823379	-1.854453
0.200000	999.794250	-1.956288	999.804352	-1.950988
0.210000	999.773715	-2.053542	999.784360	-2.047361
0.220000	999.752216	-2.149868	999.763405	-2.143564
0.230000	999.729755	-2.246111	999.741489	-2.239589
0.240000	999.706332	-2.342270	999.718614	-2.335428
0.250000	999.681949	-2.438346	999.694781	-2.431074
0.260000	999.656606	-2.534340	999.669993	-2.526519
0.270000	999.630303	-2.630250	999.644252	-2.621756
0.280000	999.603042	-2.726077	999.617559	-2.716778
0.290000	999.574824	-2.821822	999.589917	-2.811577
0.300000	999.545649	-2.917484	999.561328	-2.906146
0.310000	999.515519	-3.013063	999.531795	-3.000477
0.320000	999.484446	-3.107258	999.501319	-3.094565
0.330000	999.452433	-3.201331	999.469904	-3.188401
0.340000	999.419480	-3.295282	999.437552	-3.281979
0.350000	999.385589	-3.389112	999.404266	-3.375292
0.360000	999.350761	-3.482819	999.370047	-3.468334
0.370000	999.314997	-3.576406	999.334900	-3.561097
0.380000	999.278298	-3.669871	999.298826	-3.653575
0.390000	999.240666	-3.763215	999.261829	-3.745761
0.400000	999.202101	-3.856437	999.223912	-3.837650
0.410000	999.162606	-3.949540	999.185077	-3.929235
0.420000	999.122181	-4.042521	999.145328	-4.020509
0.430000	999.080844	-4.133635	999.104668	-4.111467
0.440000	999.038598	-4.224593	999.063100	-4.202102
0.450000	998.995444	-4.315392	999.020627	-4.292408
0.460000	998.951384	-4.406035	998.977253	-4.382381
0.470000	998.906419	-4.496522	998.932981	-4.472013
0.480000	998.860550	-4.586852	998.887814	-4.561300
0.490000	998.813780	-4.677026	998.841756	-4.650235
0.500000	998.766110	-4.767044	998.794810	-4.738814
0.510000	998.717541	-4.856906	998.746981	-4.827031
0.520000	998.668074	-4.946614	998.698271	-4.914881
0.530000	998.617713	-5.036166	998.648684	-5.002359
0.540000	998.566479	-5.123388	998.598225	-5.089459
0.550000	998.514375	-5.210421	998.546897	-5.176177
0.560000	998.461402	-5.297267	998.494703	-5.262509
0.570000	998.407563	-5.383925	998.441648	-5.348448
0.580000	998.352859	-5.470395	998.387735	-5.433992
0.590000	998.297292	-5.556679	998.332969	-5.519134
0.600000	998.240864	-5.642777	998.277354	-5.603872
0.610000	998.183577	-5.728688	998.220893	-5.688200
0.620000	998.125433	-5.814415	998.163591	-5.772115
0.630000	998.066434	-5.899955	998.105452	-5.855613
0.640000	998.006581	-5.985311	998.046480	-5.938689
0.650000	997.945876	-6.070483	997.986680	-6.021340
0.660000	997.884347	-6.152849	997.926055	-6.103562
0.670000	997.821997	-6.235000	997.864610	-6.185352
0.680000	997.758828	-6.316939	997.802349	-6.266706
0.690000	997.694841	-6.398666	997.739277	-6.347620
0.700000	997.630039	-6.480180	997.675398	-6.428092
0.710000	997.564425	-6.561484	997.610717	-6.508118
0.720000	997.497999	-6.642576	997.545238	-6.587696
0.730000	997.430764	-6.723459	997.478965	-6.666822
0.740000	997.362723	-6.804132	997.411903	-6.745493
0.750000	997.293877	-6.884595	997.344056	-6.823707
0.760000	997.224228	-6.964850	997.275430	-6.901462
0.770000	997.153780	-7.044898	997.206029	-6.978754
0.780000	997.082563	-7.121694	997.135857	-7.055582
0.790000	997.010580	-7.198258	997.064919	-7.131942
0.800000	996.937834	-7.274590	996.993219	-7.207834
0.810000	996.864327	-7.350692	996.920763	-7.283254
0.820000	996.790062	-7.426563	996.847556	-7.358202
0.830000	996.715039	-7.502205	996.773601	-7.432674
0.840000	996.639263	-7.577619	996.698904	-7.506670
0.850000	996.562735	-7.652804	996.623469	-7.580187
0.860000	996.485458	-7.727762	996.547302	-7.653225
0.870000	996.407433	-7.802493	996.470406	-7.725781
0.880000	996.328663	-7.876998	996.392788	-7.797854
0.890000	996.249150	-7.951278	996.314451	-7.869443
0.900000	996.168897	-8.025334	996.235400	-7.940548
0.910000	996.087940	-8.095698	996.155641	-8.011166
0.920000	996.006281	-8.165819	996.075179	-8.081297
0.930000	995.923924	-8.235698	995.994017	-8.150940
0.940000	995.840871	-8.305336	995.912162	-8.220094
0.950000	995.757124	-8.374733	995.829617	-8.288759
0.960000	995.672685	-8.443890	995.746388	-8.356934
0.970000	995.587557	-8.512807	995.662480	-8.424619
0.980000	995.501742	-8.581487	995.577897	-8.491813
0.990000	995.415243	-8.649930	995.492645	-8.558515
1.000000	995.328061	-8.718135	995.406729	-8.624726
1.010000	995.240200	-8.786106	995.320152	-8.690446
1.020000	995.151662	-8.853841	995.232921	-8.755673
1.030000	995.062448	-8.921342	995.145041	-8.820410
1.040000	994.972562	-8.988610	995.056515	-8.884655
1.050000	994.882006	-9.055645	994.967349	-8.948408
1.060000	994.790820	-9.118537	994.877548	-9.011671
1.070000	994.699009	-9.181184	994.787117	-9.074443
1.080000	994.606573	-9.243587	994.696061	-9.136724
1.090000	994.513515	-9.305748	994.604384	-9.198516
1.100000	994.419839	-9.367668	994.512092	-9.259819
1.110000	994.325545	-9.429346	994.419190	-9.320634
1.120000	994.230637	-9.490785	994.325681	-9.380960
1.130000	994.135117	-9.551985	994.231572	-9.440800
1.140000	994.038988	-9.612947	994.136867	-9.500153
1.150000	993.942251	-9.673671	994.041571	-9.559022
1.160000	993.844910	-9.734160	993.945688	-9.617406
1.170000	993.746966	-9.794414	993.849224	-9.675307
1.180000	993.648421	-9.854433	993.752184	-9.732726
1.190000	993.549279	-9.914219	993.654571	-9.789664
1.200000	993.449541	-9.973773	993.556392	-9.846122
1.210000	993.349210	-10.033095	993.457650	-9.902103
1.220000	993.248332	-10.087852	993.358351	-9.957606
1.230000	993.146908	-10.142372	993.258500	-10.012634
1.240000	993.044942	-10.196657	993.158100	-10.067188
1.250000	992.942434	-10.250707	993.057158	-10.121270
1.260000	992.839389	-10.304524	992.955677	-10.174881
1.270000	992.735808	-10.358109	992.853662	-10.228022
1.280000	992.631693	-10.411462	992.751118	-10.280696
1.290000	992.527048	-10.464584	992.648049	-10.332904
1.300000	992.421873	-10.517477	992.544461	-10.384648
1.310000	992.316171	-10.570142	992.440358	-10.435930
1.320000	992.209946	-10.622579	992.335744	-10.486752
1.330000	992.103198	-10.674789	992.230624	-10.537115
1.340000	991.995930	-10.726774	992.125003	-10.587022
1.350000	991.888145	-10.778534	992.018885	-10.636474
1.360000	991.779844	-10.830071	991.912275	-10.685474
1.370000	991.671030	-10.881385	991.805177	-10.734024
1.380000	991.561705	-10.932478	991.697596	-10.782126
1.390000	991.451872	-10.983349	991.589536	-10.829781
1.400000	991.341532	-11.034001	991.481002	-10.876993
1.410000	991.230735	-11.079668	991.371998	-10.923763
1.420000	991.119484	-11.125117	991.262528	-10.970094
1.430000	991.007780	-11.170351	991.152598	-11.015987
1.440000	990.895627	-11.215369	991.042210	-11.061446
1.450000	990.783025	-11.260174	990.931370	-11.106473
1.460000	990.669977	-11.304765	990.820082	-11.151070
1.470000	990.556486	-11.349145	990.708350	-11.195239
1.480000	990.442553	-11.393314	990.596179	-11.238982
1.490000	990.328180	-11.437273	990.483572	-11.282303
1.500000	990.213370	-11.481023	990.370534	-11.325204
1.510000	990.098124	-11.524565	990.257069	-11.367687
1.520000	989.982445	-11.567900	990.143182	-11.409755
1.530000	989.866335	-11.611030	990.028875	-11.451411
1.540000	989.749795	-11.653954	989.914155	-11.492656
1.550000	989.632829	-11.696675	989.799024	-11.533493
1.560000	989.515437	-11.739192	989.683486	-11.573926
1.570000	989.397622	-11.781507	989.567547	-11.613956
1.580000	989.279385	-11.823622	989.451208	-11.653587
1.590000	989.160730	-11.865536	989.334476	-11.692821
1.600000	989.041658	-11.907251	989.217353	-11.731660
1.610000	988.922170	-11.948767	989.099844	-11.770108
1.620000	988.802269	-11.990087	988.981952	-11.808166
1.630000	988.681957	-12.031210	988.863682	-11.845839
1.640000	988.561287	-12.066940	988.745037	-11.883128
1.650000	988.440263	-12.102485	988.626021	-11.920035
1.660000	988.318884	-12.137846	988.506638	-11.956565
1.670000	988.197154	-12.173023	988.386891	-11.992719
1.680000	988.075074	-12.208018	988.266784	-12.028501
1.690000	987.952645	-12.242832	988.146322	-12.063913
1.700000	987.829871	-12.277465	988.025507	-12.098957
1.710000	987.706752	-12.311919	987.904344	-12.133637
1.720000	987.583290	-12.346194	987.782836	-12.167955
1.730000	987.459487	-12.380291	987.660986	-12.201915
1.740000	987.335345	-12.414212	987.538799	-12.235518
1.750000	987.210865	-12.447956	987.416277	-12.268768
1.760000	987.086050	-12.481526	987.293425	-12.301668
1.770000	986.960901	-12.514922	987.170245	-12.334219
1.780000	986.835419	-12.548145	987.046741	-12.366426
1.790000	986.709607	-12.581195	986.922917	-12.398290
1.800000	986.583466	-12.614074	986.798777	-12.429814
1.810000	986.456999	-12.646783	986.674322	-12.461002
1.820000	986.330205	-12.679322	986.549558	-12.491856
1.830000	986.203088	-12.711692	986.424486	-12.522379
1.840000	986.075650	-12.743895	986.299111	-12.552574
1.850000	985.947890	-12.775931	986.173436	-12.582442
1.860000	985.819812	-12.807800	986.047463	-12.611988
1.870000	985.691417	-12.839504	985.921197	-12.641213
1.880000	985.562707	-12.871044	985.794640	-12.670121
1.890000	985.433683	-12.902421	985.667796	-12.698715
1.900000	985.304346	-12.933635	985.540667	-12.726996
1.910000	985.174699	-12.964687	985.413257	-12.754968
1.920000	985.044744	-12.995578	985.285569	-12.782633
1.930000	984.914480	-13.026309	985.157605	-12.809995
1.940000	984.783968	-13.051253	985.029370	-12.837055
1.950000	984.653207	-13.076057	984.900865	-12.863817
1.960000	984.522200	-13.100722	984.772094	-12.890283
1.970000	984.390948	-13.125248	984.643060	-12.916456
1.980000	984.259451	-13.149637	984.513766	-12.942339
1.990000	984.127712	-13.173889	984.384215	-12.967934
2.000000	983.995732	-13.198004	984.254409	-12.993243
2.010000	983.863512	-13.221984	984.124351	-13.018270
2.020000	983.731054	-13.245830	983.994044	-13.043017
2.030000	983.598359	-13.269541	983.863491	-13.067487
2.040000	983.465428	-13.293119	983.732695	-13.091682
2.050000	983.332262	-13.316565	983.601659	-13.115605
2.060000	983.198863	-13.339879	983.470384	-13.139259
2.070000	983.065233	-13.363062	983.338874	-13.162645
2.080000	982.931371	-13.386115	983.207132	-13.185767
2.090000	982.797281	-13.409039	983.075160	-13.208627
2.100000	982.662963	-13.431834	982.942960	-13.231228
2.110000	982.528418	-13.454501	982.810536	-13.253571
2.120000	982.393647	-13.477040	982.677890	-13.275661
2.130000	982.258653	-13.499453	982.545024	-13.297498
2.140000	982.123435	-13.521740	982.411941	-13.319086
2.150000	981.987996	-13.543902	982.278643	-13.340427
2.160000	981.852337	-13.565940	982.145133	-13.361523
2.170000	981.716458	-13.587853	982.011413	-13.382378
2.180000	981.580362	-13.609644	981.877486	-13.402992
2.190000	981.444049	-13.631312	981.743354	-13.423369
2.200000	981.307520	-13.652859	981.609020	-13.443511
2.210000	981.170777	-13.674284	981.474485	-13.463421
2.220000	981.033821	-13.695589	981.339752	-13.483100
