t	y	v	
0.000000	39450.000000	0.000000	0.000000	0.000000
0.010000	39449.999019	-0.098100	0.000000	0.000000
0.020000	39449.997057	-0.196200	0.000000	0.000000
0.030000	39449.994114	-0.294300	0.000000	0.000000
0.040000	39449.990190	-0.392400	0.000000	0.000000
0.050000	39449.985285	-0.490500	0.000000	0.000000
0.060000	39449.979399	-0.588600	0.000000	0.000000
0.070000	39449.972532	-0.686700	0.000000	0.000000
0.080000	39449.964684	-0.784800	0.000000	0.000000
0.090000	39449.955855	-0.882900	0.000000	0.000000
0.100000	39449.946045	-0.981000	0.000000	0.000000
0.110000	39449.935254	-1.079100	0.000000	0.000000
0.120000	39449.923482	-1.177200	0.000000	0.000000
0.130000	39449.910729	-1.275299	0.000000	0.000000
0.140000	39449.896995	-1.373399	0.000000	0.000000
0.150000	39449.882280	-1.471498	0.000000	0.000000
0.160000	39449.866584	-1.569598	0.000000	0.000000
0.170000	39449.849907	-1.667698	0.000000	0.000000
0.180000	39449.832249	-1.765797	0.000000	0.000000
0.190000	39449.813610	-1.863896	0.000000	0.000000
0.200000	39449.793990	-1.961996	0.000000	0.000000
0.210000	39449.773389	-2.060095	0.000000	0.000000
0.220000	39449.751807	-2.158194	0.000000	0.000000
0.230000	39449.729244	-2.256293	0.000000	0.000000
0.240000	39449.705700	-2.354391	0.000000	0.000000
0.250000	39449.681176	-2.452490	0.000000	0.000000
0.260000	39449.655670	-2.550588	0.000000	0.000000
0.270000	39449.629183	-2.648687	0.000000	0.000000
0.280000	39449.601715	-2.746785	0.000000	0.000000
0.290000	39449.573266	-2.844883	0.000000	0.000000
0.300000	39449.543836	-2.942982	0.000000	0.000000
0.310000	39449.513426	-3.041080	0.000000	0.000000
0.320000	39449.482034	-3.139177	0.000000	0.000000
0.330000	39449.449661	-3.237274	0.000000	0.000000
0.340000	39449.416307	-3.335371	0.000000	0.000000
0.350000	39449.381973	-3.433468	0.000000	0.000000
0.360000	39449.346657	-3.531565	0.000000	0.000000
0.370000	39449.310360	-3.629662	0.000000	0.000000
0.380000	39449.273083	-3.727758	0.000000	0.000000
0.390000	39449.234824	-3.825855	0.000000	0.000000
0.400000	39449.195585	-3.923951	0.000000	0.000000
0.410000	39449.155364	-4.022048	0.000000	0.000000
0.420000	39449.114163	-4.120143	0.000000	0.000000
0.430000	39449.071980	-4.218238	0.000000	0.000000
0.440000	39449.028817	-4.316332	0.000000	0.000000
0.450000	39448.984673	-4.414427	0.000000	0.000000
0.460000	39448.939548	-4.512522	0.000000	0.000000
0.470000	39448.893441	-4.610616	0.000000	0.000000
0.480000	39448.846354	-4.708710	0.000000	0.000000
0.490000	39448.798286	-4.806804	0.000000	0.000000
0.500000	39448.749237	-4.904898	0.000000	0.000000
0.510000	39448.699207	-5.002992	0.000000	0.000000
0.520000	39448.648197	-5.101085	0.000000	0.000000
0.530000	39448.596205	-5.199177	0.000000	0.000000
0.540000	39448.543232	-5.297269	0.000000	0.000000
0.550000	39448.489278	-5.395361	0.000000	0.000000
0.560000	39448.434344	-5.493452	0.000000	0.000000
