time	x	y	v_x	v_y
0.000000	6000000.000000	0.000000	0.000000	10000.000000
100.000000	5944605.089189	996921.250498	-1103.675370	9908.095562
200.000000	5780917.782681	1975765.183233	-2158.117306	9641.384794
300.000000	5516013.018569	2920175.086829	-3122.191413	9224.531203
400.000000	5160437.846990	3816806.321935	-3968.137310	8691.968507
500.000000	4726778.857606	4655954.781377	-4682.814857	8080.978167
600.000000	4228282.747382	5431542.924410	-5265.629157	7426.059044
700.000000	3677781.149957	6140657.786514	-5724.813640	6755.661529
800.000000	3087002.475358	6782878.267290	-6073.613213	6091.146906
900.000000	2466231.157809	7359579.668020	-6327.239306	5447.235494
1000.000000	1824220.908331	7873324.487806	-6500.836146	4833.170423
1100.000000	1168265.241277	8327381.451178	-6608.332328	4254.049732
1200.000000	504348.932215	8725373.033448	-6661.927470	3712.032949
1300.000000	-162670.753330	9071032.207162	-6671.974723	3207.310911
1400.000000	-828883.116504	9368043.699737	-6647.079512	2738.829568
1500.000000	-1491158.658328	9619946.714075	-6594.297280	2304.802913
1600.000000	-2147005.411997	9830080.360070	-6519.361371	1903.062097
1700.000000	-2794447.953392	10001557.669260	-6426.904578	1531.284663
1800.000000	-3431927.499765	10137258.060220	-6320.657692	1187.139501
1900.000000	-4058220.448089	10239831.235494	-6203.619407	868.374308
2000.000000	-4672372.464806	10311707.776783	-6078.197740	572.864760
2100.000000	-5273645.401338	10355113.321293	-5946.325701	298.638799
2200.000000	-5861474.640142	10372084.315292	-5809.554863	43.885124
2300.000000	-6435434.849851	10364484.092633	-5669.130570	-193.047982
2400.000000	-6995212.484994	10334018.525571	-5526.052147	-413.659493
2500.000000	-7540583.680584	10282250.821973	-5381.121030	-619.305530
2600.000000	-8071396.457561	10210615.253305	-5234.979218	-811.210636
2700.000000	-8587556.373479	10120429.730318	-5088.140015	-990.479415
2800.000000	-9089014.929387	10012907.224482	-4941.012651	-1158.107903
2900.000000	-9575760.185167	9889166.080855	-4793.922016	-1314.994324
3000.000000	-10047809.147900	9750239.293988	-4647.124529	-1461.949055
3100.000000	-10505201.586872	9597082.830638	-4500.820925	-1599.703720
3200.000000	-10947994.999216	9430583.086668	-4355.166569	-1728.919413
3300.000000	-11376260.505818	9251563.563972	-4210.279822	-1850.194084
3400.000000	-11790079.501201	9060790.848755	-4066.248813	-1964.069134
3500.000000	-12189540.915913	8858979.966522	-3923.136961	-2071.035300
3600.000000	-12574738.977701	8646799.182469	-3780.987467	-2171.537873
3700.000000	-12945771.379685	8424874.309251	-3639.826989	-2265.981340
3800.000000	-13302737.781388	8193792.577649	-3499.668650	-2354.733498
3900.000000	-13645738.582426	7954106.119557	-3360.514500	-2438.129099
4000.000000	-13974873.919967	7706335.107198	-3222.357546	-2516.473092
4100.000000	-14290242.850074	7450970.587434	-3085.183410	-2590.043487
4200.000000	-14591942.680351	7188477.045540	-2948.971708	-2659.093905
4300.000000	-14880068.427174	6919294.728815	-2813.697169	-2723.855839
4400.000000	-15154712.375596	6643841.756878	-2679.330578	-2784.540666
4500.000000	-15415963.723863	6362516.042371	-2545.839531	-2841.341430
4600.000000	-15663908.297648	6075697.043036	-2413.189074	-2894.434434
4700.000000	-15898628.321699	5783747.363768	-2281.342222	-2943.980654
4800.000000	-16120202.238706	5487014.225088	-2150.260383	-2990.127000
4900.000000	-16328704.566924	5185830.812693	-2019.903713	-3033.007435
5000.000000	-16524205.789524	4880517.521061	-1890.231397	-3072.743977
5100.000000	-16706772.269832	4571383.102742	-1761.201888	-3109.447587
5200.000000	-16876466.187565	4258725.733684	-1632.773090	-3143.218959
5300.000000	-17033345.492019	3942834.003893	-1504.902511	-3174.149229
5400.000000	-17177463.868802	3623987.841772	-1377.547388	-3202.320593
5500.000000	-17308870.717284	3302459.379670	-1250.664774	-3227.806861
5600.000000	-17427611.136399	2978513.767465	-1124.211617	-3250.673947
5700.000000	-17533725.916836	2652409.940355	-998.144812	-3270.980299
5800.000000	-17627251.537952	2324401.346542	-872.421243	-3288.777268
5900.000000	-17708220.168070	1994736.639977	-746.997809	-3304.109437
6000.000000	-17776659.667017	1663660.342984	-621.831442	-3317.014898
6100.000000	-17832593.589975	1331413.483202	-496.879119	-3327.525489
6200.000000	-17876041.191898	998234.209026	-372.097860	-3335.666986
6300.000000	-17907017.431886	664358.387484	-247.444725	-3341.459264
6400.000000	-17925532.977046	330020.188282	-122.876813	-3344.916411
