time	x	y	v_x	v_y
0.000000	-7000000.000000	0.000000	0.000000	10590.050000
60.000000	-6985312.054042	634958.880324	488.934826	10567.873921
120.000000	-6941485.355688	1267274.401896	970.011196	10502.230905
180.000000	-6869214.955401	1894407.480093	1435.909074	10395.679701
240.000000	-6769607.224675	2514016.358966	1880.303390	10252.182103
300.000000	-6644109.919992	3124029.518977	2298.178291	10076.712880
360.000000	-6494428.402144	3722693.351300	2685.973148	9874.820837
420.000000	-6322437.986945	4308593.757552	3041.569581	9652.208735
480.000000	-6130101.015481	4880654.418129	3364.154328	9414.382037
540.000000	-5919394.722935	5438116.758209	3654.004381	9166.392413
600.000000	-5692253.184932	5980507.509868	3912.239510	8912.679874
660.000000	-5450524.166604	6507599.492710	4140.577923	8657.001750
720.000000	-5195939.923308	7019370.255987	4341.118408	8402.428845
780.000000	-4930099.960377	7515961.968681	4516.160679	8151.387436
840.000000	-4654463.336579	7997644.720073	4668.066819	7905.728116
900.000000	-4370348.107823	8464784.373945	4799.161053	7666.806640
960.000000	-4078935.773276	8917815.364335	4911.662154	7435.566415
1020.000000	-3781278.963645	9357218.318502	5007.641850	7212.616118
1080.000000	-3478311.006958	9783502.097618	5089.002827	6998.298950
1140.000000	-3170856.367217	10197189.702830	5157.470795	6792.752124
1200.000000	-2859641.252498	10598807.453533	5214.596116	6595.956521
1260.000000	-2545303.926268	10988876.866005	5261.761574	6407.777201
1320.000000	-2228404.433943	11367908.715282	5300.193745	6227.995861
1380.000000	-1909433.585379	11736398.832047	5330.976183	6056.336413
1440.000000	-1588821.123346	12094825.257586	5355.063203	5892.484861
1500.000000	-1266943.067581	12443646.446848	5373.293477	5736.104524
1560.000000	-944128.261755	12783300.269137	5386.402949	5586.847543
1620.000000	-620664.172927	13114203.606861	5395.036803	5444.363431
1680.000000	-296802.004660	13436752.395145	5399.760362	5308.305308
1740.000000	27238.810548	13751321.979781	5401.068881	5178.334358
1800.000000	351266.673960	14058267.698870	5399.396262	5054.122889
1860.000000	675114.375707	14357925.615721	5395.122770	4935.356364
1920.000000	998636.084057	14650613.348066	5388.581802	4821.734618
1980.000000	1321704.715726	14936630.952388	5380.065833	4712.972506
2040.000000	1644209.639531	15216261.832743	5369.831600	4608.800097
2100.000000	1966054.670973	15489773.651749	5358.104623	4508.962567
2160.000000	2287156.320316	15757419.227660	5345.083153	4413.219858
2220.000000	2607442.261317	16019437.406319	5330.941589	4321.346188
2280.000000	2926849.991925	16276053.900393	5315.833466	4233.129462
2340.000000	3245325.661947	16527482.091066	5299.894047	4148.370614
2400.000000	3562823.045956	16773923.789414	5283.242580	4066.882923
2460.000000	3879302.642604	17015569.956183	5265.984257	3988.491316
2520.000000	4194730.883976	17252601.379824	5248.211932	3913.031676
2580.000000	4509079.440844	17485189.313409	5230.007608	3840.350163
2640.000000	4822324.611527	17713496.071592	5211.443735	3770.302562
2700.000000	5134446.783736	17937675.589186	5192.584351	3702.753658
2760.000000	5445429.960192	18157873.943119	5173.486075	3637.576642
