time	x	y	v_x	v_y
0.000000	-6000000.000000	0.000000	-10000.000000	10000.000000	100020011.121667
60.000000	-6581243.694369	599424.145944	-9394.722694	9972.495474	88280768.661310
120.000000	-7129493.619484	1195971.210851	-8896.028023	9908.051848	79159138.346786
180.000000	-7650442.681111	1788022.270467	-8481.342131	9824.899111	71952820.635734
240.000000	-8148576.080924	2374797.298319	-8132.911303	9733.481507	66163718.776702
300.000000	-8627441.165478	2955995.766205	-7837.078183	9639.749156	61439078.765887
360.000000	-9089866.202423	3531589.025396	-7583.387723	9547.050052	57526867.660603
420.000000	-9538128.362275	4101699.735861	-7363.809374	9457.215322	54244606.636644
480.000000	-9974080.122087	4666531.375472	-7172.129390	9371.186556	51458185.656524
540.000000	-10399243.930324	5226326.843075	-7003.495487	9289.382558	49067530.760094
600.000000	-10814883.301524	5781344.163173	-6854.080974	9211.916298	46996852.497322
660.000000	-11222056.564113	6331842.356603	-6720.837804	9138.724583	45187940.650384
720.000000	-11621657.840599	6878073.410084	-6601.314459	9069.646139	43595494.070865
780.000000	-12014448.585383	7420277.926356	-6493.520788	9004.468820	42183823.165378
840.000000	-12401082.088536	7958682.998647	-6395.826886	8942.958091	40924489.310922
900.000000	-12782122.694994	8493501.422826	-6306.886765	8884.874064	39794592.108989
960.000000	-13158061.017546	9024931.702815	-6225.580213	8829.981468	38775510.527431
1020.000000	-13529326.084893	9553158.513010	-6150.968106	8778.055262	37851966.208273
1080.000000	-13896295.123627	10078353.409650	-6082.257741	8728.883538	37011318.348735
1140.000000	-14259301.497564	10600675.662707	-6018.775727	8682.268771	36243027.062817
1200.000000	-14618641.199907	11120273.129719	-5959.946602	8638.028052	35538240.740898
1260.000000	-14974578.199599	11637283.124427	-5905.275825	8595.992735	34889475.672050
1320.000000	-15327348.873501	12151833.252822	-5854.336168	8556.007742	34290365.029532
1380.000000	-15677165.703808	12664042.201736	-5806.756725	8517.930693	33735460.515750
1440.000000	-16024220.380820	13174020.472885	-5762.213998	8481.630973	33220074.356180
1500.000000	-16368686.421275	13681871.060147	-5720.424602	8446.988778	32740152.480286
