earth.x	earth.y	moon.x	moon.y
0.000000	0.000000	385000000.000000	0.000000
0.019829	-7530.000000	384999998.380653	613199.999998
0.039674	-15060.000000	384999996.759955	1226399.999996
0.059520	-22590.000000	384999995.139257	1839599.999994
0.079365	-30120.000000	384999993.518559	2452799.999991
0.099211	-37650.000000	384999991.897861	3065999.999989
0.119056	-45180.000000	384999990.277163	3679199.999987
0.138902	-52710.000000	384999988.656465	4292399.999985
0.158747	-60240.000000	384999987.035767	4905599.999982
0.178593	-67770.000000	384999985.415069	5518799.999980
0.198438	-75300.000000	384999983.794371	6131999.999978
0.218283	-82830.000000	384999982.173673	6745199.999976
0.238129	-90360.000000	384999980.552975	7358399.999974
0.257974	-97890.000000	384999978.932277	7971599.999971
0.277820	-105420.000000	384999977.311579	8584799.999969
0.297665	-112950.000000	384999975.690881	9197999.999967
0.317511	-120480.000000	384999974.070183	9811199.999965
0.337356	-128010.000000	384999972.449485	10424399.999962
0.357202	-135540.000000	384999970.828787	11037599.999960
0.377047	-143070.000000	384999969.208089	11650799.999958
0.396892	-150600.000000	384999967.587391	12263999.999956
0.416738	-158130.000000	384999965.966693	12877199.999953
0.436583	-165660.000000	384999964.345995	13490399.999951
0.456429	-173190.000000	384999962.725297	14103599.999949
0.476274	-180720.000000	384999961.104599	14716799.999947
0.496120	-188250.000000	384999959.483901	15329999.999944
0.515965	-195780.000000	384999957.863203	15943199.999942
0.535811	-203310.000000	384999956.242505	16556399.999940
0.555656	-210840.000000	384999954.621807	17169599.999938
0.575502	-218370.000000	384999953.001109	17782799.999936
0.595347	-225900.000000	384999951.380411	18395999.999933
0.615192	-233430.000000	384999949.759713	19009199.999931
0.635038	-240960.000000	384999948.139015	19622399.999929
0.654883	-248490.000000	384999946.518317	20235599.999927
0.674729	-256020.000000	384999944.897619	20848799.999924
0.694574	-263550.000000	384999943.276921	21461999.999922
0.714420	-271080.000000	384999941.656223	22075199.999920
0.734265	-278610.000000	384999940.035526	22688399.999918
0.754111	-286140.000000	384999938.414828	23301599.999915
0.773956	-293670.000000	384999936.794130	23914799.999913
0.793801	-301200.000000	384999935.173432	24527999.999911
0.813647	-308730.000000	384999933.552734	25141199.999909
0.833492	-316260.000000	384999931.932036	25754399.999906
0.853338	-323790.000000	384999930.311338	26367599.999904
0.873183	-331320.000000	384999928.690640	26980799.999902
0.893029	-338850.000000	384999927.069942	27593999.999900
0.912874	-346380.000000	384999925.449244	28207199.999898
0.932720	-353910.000000	384999923.828546	28820399.999895
0.952565	-361440.000000	384999922.207848	29433599.999893
0.972411	-368970.000000	384999920.587150	30046799.999891
0.992256	-376500.000000	384999918.966452	30659999.999889
1.012101	-384030.000000	384999917.345754	31273199.999886
1.031947	-391560.000000	384999915.725056	31886399.999884
1.051792	-399090.000000	384999914.104358	32499599.999882
1.071638	-406620.000000	384999912.483660	33112799.999880
1.091483	-414150.000000	384999910.862962	33725999.999878
1.111329	-421680.000000	384999909.242264	34339199.999878
1.131174	-429210.000000	384999907.621566	34952399.999878
1.151020	-436740.000000	384999906.000868	35565599.999878
1.170865	-444270.000000	384999904.380170	36178799.999878
1.190710	-451800.000000	384999902.759472	36791999.999878
1.210556	-459330.000000	384999901.138774	37405199.999878
1.230401	-466860.000000	384999899.518076	38018399.999878
1.250247	-474390.000000	384999897.897378	38631599.999878
1.270092	-481920.000000	384999896.276680	39244799.999878
1.289938	-489450.000000	384999894.655982	39857999.999878
1.309783	-496980.000000	384999893.035284	40471199.999878
