v_y	closest approach
10000.000000	360035460.800641
10001.000000	360011150.432598
10002.000000	359986332.586080
10003.000000	359961655.890355
10004.000000	359936977.467817
10005.000000	359912274.261408
10006.000000	359887757.936076
10007.000000	359862691.310600
10008.000000	359837843.502803
10009.000000	359812941.759365
10010.000000	359788073.735390
10011.000000	359763276.962803
10012.000000	359738036.759000
10013.000000	359712987.692280
10014.000000	359687864.553332
10015.000000	359662788.127674
10016.000000	359637594.439449
10017.000000	359612337.589267
10018.000000	359587073.456448
10019.000000	359561730.880495
10020.000000	359536435.473031
10021.000000	359511030.164040
10022.000000	359485568.997594
10023.000000	359460086.320637
10024.000000	359434526.298606
10025.000000	359409013.898064
10026.000000	359383393.808133
10027.000000	359357712.707921
10028.000000	359332012.332485
10029.000000	359306236.887028
10030.000000	359280509.513776
10031.000000	359254674.780356
10032.000000	359228756.962386
10033.000000	359202838.056581
10034.000000	359176849.241374
10035.000000	359150908.946716
10036.000000	359125017.089979
10037.000000	359098696.512682
10038.000000	359072550.569089
10039.000000	359046350.468128
10040.000000	359020144.688018
10041.000000	358994097.081880
10042.000000	358967532.612356
10043.000000	358941137.452366
10044.000000	358914728.179257
10045.000000	358888267.125617
10046.000000	358861835.270026
10047.000000	358835253.028569
10048.000000	358808586.789567
10049.000000	358781970.486816
10050.000000	358755288.269058
10051.000000	358728542.750864
10052.000000	358701758.241175
10053.000000	358674887.159234
10054.000000	358648065.997532
10055.000000	358621157.881025
10056.000000	358594125.496557
10057.000000	358567102.263820
10058.000000	358540027.629880
10059.000000	358512927.321409
10060.000000	358485978.354089
10061.000000	358458600.094513
10062.000000	358431273.257690
10063.000000	358403997.754543
10064.000000	358376649.700231
10065.000000	358349250.542878
10066.000000	358321787.567295
10067.000000	358294261.683809
10068.000000	358266766.444839
10069.000000	358239365.121985
10070.000000	358211508.213191
10071.000000	358183780.670364
10072.000000	358156058.022529
10073.000000	358128278.159131
10074.000000	358100437.924024
10075.000000	358072540.143906
10076.000000	358044570.328199
10077.000000	358016631.116003
10078.000000	357988788.736416
10079.000000	357960495.038855
10080.000000	357932310.294291
10081.000000	357904147.929371
10082.000000	357875915.605528
10083.000000	357847617.732096
10084.000000	357819264.081525
10085.000000	357790857.877562
10086.000000	357762430.117353
10087.000000	357734007.833086
10088.000000	357705418.196745
10089.000000	357676769.603964
10090.000000	357648175.171307
10091.000000	357619634.803373
10092.000000	357590696.677864
10093.000000	357561869.987952
10094.000000	357533035.157173
10095.000000	357504141.874333
10096.000000	357475172.809804
10097.000000	357446146.249293
10098.000000	357417072.526952
10099.000000	357387964.809445
10100.000000	357358835.324743
10101.000000	357329585.945479
10102.000000	357300274.866268
10103.000000	357270985.329893
10104.000000	357241780.040040
10105.000000	357212176.969068
10106.000000	357182630.095378
10107.000000	357153139.318876
10108.000000	357123704.539655
10109.000000	357093876.861031
10110.000000	357064126.466506
10111.000000	357034401.989501
10112.000000	357004622.601371
10113.000000	356974699.243416
10114.000000	356944752.561160
10115.000000	356914795.998462
10116.000000	356884782.336481
10117.000000	356854658.465002
10118.000000	356824497.287465
10119.000000	356794310.280190
10120.000000	356764070.569781
10121.000000	356733734.587541
10122.000000	356703349.877475
10123.000000	356672934.092599
10124.000000	356642471.685472
10125.000000	356611911.724966
10126.000000	356581299.884482
10127.000000	356550657.014396
10128.000000	356519967.656444
10129.000000	356489178.040610
10130.000000	356458337.180326
10131.000000	356427468.942382
10132.000000	356396551.964211
10133.000000	356365525.744851
10134.000000	356334451.952692
10135.000000	356303360.088747
10136.000000	356272225.860673
10137.000000	356240951.093189
10138.000000	356209634.702395
10139.000000	356178320.978358
10140.000000	356147067.225767
10141.000000	356115454.384763
10142.000000	356083876.240671
10143.000000	356052342.446040
