t,xe,ye,vxe,vye,xm,ym,vxm,vym
0.000000,0.000000,0.000000,0.000000,-15.000000,385000000.000000,0.000000,0.000000,1022.000000
100.000000,0.157588,-1500.000000,0.003152,-15.000000,384999986.492481,102199.998805,-0.270150,1021.999964
200.000000,0.630351,-2999.999957,0.006304,-14.999999,384999945.969925,204399.990386,-0.540301,1021.999856
300.000000,1.418289,-4499.999785,0.009455,-14.999997,384999878.432336,306599.967466,-0.810451,1021.999674
400.000000,2.521403,-5999.999401,0.012607,-14.999995,384999783.879718,408799.922770,-1.080601,1021.999420
500.000000,3.939693,-7499.998719,0.015759,-14.999991,384999662.312078,510999.849020,-1.350751,1021.999093
600.000000,5.673157,-8999.997655,0.018911,-14.999987,384999513.729426,613199.738940,-1.620902,1021.998693
700.000000,7.721797,-10499.996123,0.022062,-14.999982,384999338.131773,715399.585254,-1.891051,1021.998221
800.000000,10.085611,-11999.994039,0.025214,-14.999976,384999135.519133,817599.380685,-2.161201,1021.997676
900.000000,12.764600,-13499.991317,0.028366,-14.999969,384998905.891519,919799.117956,-2.431351,1021.997058
1000.000000,15.758764,-14999.987873,0.031518,-14.999962,384998649.248951,1021998.789791,-2.701500,1021.996367
1100.000000,19.068102,-16499.983622,0.034669,-14.999953,384998365.591446,1124198.388914,-2.971650,1021.995603
1200.000000,22.692614,-17999.978479,0.037821,-14.999944,384998054.919028,1226397.908048,-3.241799,1021.994767
1300.000000,26.632301,-19499.972359,0.040973,-14.999934,384997717.231718,1328597.339916,-3.511947,1021.993858
1400.000000,30.887160,-20999.965178,0.044124,-14.999923,384997352.529543,1430796.677243,-3.782096,1021.992876
1500.000000,35.457193,-22499.956849,0.047276,-14.999911,384996960.812531,1532995.912751,-4.052244,1021.991822
1600.000000,40.342399,-23999.947290,0.050428,-14.999898,384996542.080710,1635195.039165,-4.322392,1021.990694
1700.000000,45.542778,-25499.936413,0.053580,-14.999884,384996096.334113,1737394.049207,-4.592540,1021.989494
1800.000000,51.058328,-26999.924136,0.056731,-14.999870,384995623.572773,1839592.935602,-4.862687,1021.988222
